波长,光强
380(mW/m2/nm),0.0216085294327167
381(mW/m2/nm),0.0186942644701880
382(mW/m2/nm),0.0173774055255879
383(mW/m2/nm),0.0302972321955107
384(mW/m2/nm),0.0296820459240615
385(mW/m2/nm),0.0360933678436587
386(mW/m2/nm),0.0194714221261843
387(mW/m2/nm),0.0196764842166674
388(mW/m2/nm),0.0309772070207787
389(mW/m2/nm),0.0225690513313133
390(mW/m2/nm),0.0322075795636772
391(mW/m2/nm),0.0261308968422007
392(mW/m2/nm),0.0179495010911011
393(mW/m2/nm),0.0155749374171762
394(mW/m2/nm),0.0218566822291358
395(mW/m2/nm),0.0243391251628156
396(mW/m2/nm),0.0334055578296662
397(mW/m2/nm),0.0379603195160596
398(mW/m2/nm),0.0403455796190111
399(mW/m2/nm),0.0539991682491645
400(mW/m2/nm),0.0629360238083775
401(mW/m2/nm),0.0837300502875307
402(mW/m2/nm),0.1130508081449310
403(mW/m2/nm),0.1398599704551990
404(mW/m2/nm),0.1971091422425540
405(mW/m2/nm),0.2496586967454670
406(mW/m2/nm),0.3277157691350150
407(mW/m2/nm),0.4293316953068120
408(mW/m2/nm),0.5406491009687050
409(mW/m2/nm),0.7034014555446530
410(mW/m2/nm),0.8830559339521300
411(mW/m2/nm),1.0781002761769800
412(mW/m2/nm),1.3483615064443300
413(mW/m2/nm),1.6118401042455000
414(mW/m2/nm),1.9538011771075900
415(mW/m2/nm),2.3076675265856600
416(mW/m2/nm),2.6677059682892900
417(mW/m2/nm),3.2036689571373200
418(mW/m2/nm),3.7593192545699300
419(mW/m2/nm),4.3985233238537700
420(mW/m2/nm),5.0817673320487700
421(mW/m2/nm),5.7705224107266500
422(mW/m2/nm),6.5678111146807400
423(mW/m2/nm),7.3778350686031100
424(mW/m2/nm),8.1518074541019000
425(mW/m2/nm),8.8249993763117800
426(mW/m2/nm),9.4963091962977400
427(mW/m2/nm),9.9157086577366900
428(mW/m2/nm),10.2532863454401000
429(mW/m2/nm),10.6043981802274000
430(mW/m2/nm),10.5964754269361000
431(mW/m2/nm),10.5051034114509000
432(mW/m2/nm),10.2508015996064000
433(mW/m2/nm),9.8474907498813700
434(mW/m2/nm),9.4337362741135400
435(mW/m2/nm),8.9086242877635500
436(mW/m2/nm),8.4257926710139300
437(mW/m2/nm),7.9741656876722700
438(mW/m2/nm),7.6121171450950000
439(mW/m2/nm),7.2911476882192000
440(mW/m2/nm),7.1232798289516900
441(mW/m2/nm),7.0062578842971700
442(mW/m2/nm),7.0254067844585100
443(mW/m2/nm),7.1498909587072000
444(mW/m2/nm),7.3552933347644300
445(mW/m2/nm),7.6777370579243800
446(mW/m2/nm),8.1313018990188800
447(mW/m2/nm),8.7048634289499800
448(mW/m2/nm),9.4211675325038700
449(mW/m2/nm),10.2126237206891000
450(mW/m2/nm),11.0966015431153000
451(mW/m2/nm),11.9611840701564000
452(mW/m2/nm),12.7544089273933000
453(mW/m2/nm),13.4511634257087000
454(mW/m2/nm),13.9637524291881000
455(mW/m2/nm),14.2021715314643000
