波长,5:30,6:30,7:30,8:30,9:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30
380(mW/m2/nm),0.318755000000000,0.309987666666667,0.301220333333333,0.292453000000000,0.338615750000000,0.384778500000000,0.430941250000000,0.477104000000000,0.433652000000000,0.390200000000000,0.346748000000000,0.303296000000000,0.205850333333333,0.108404666666667,0.010959000000000
381(mW/m2/nm),0.325613000000000,0.316790666666667,0.307968333333333,0.299146000000000,0.345827500000000,0.392509000000000,0.439190500000000,0.485872000000000,0.442006250000000,0.398140500000000,0.354274750000000,0.310409000000000,0.210744333333333,0.111079666666667,0.011415000000000
382(mW/m2/nm),0.334325000000000,0.325340000000000,0.316355000000000,0.307370000000000,0.354709000000000,0.402048000000000,0.449387000000000,0.496726000000000,0.452473500000000,0.408221000000000,0.363968500000000,0.319716000000000,0.217153333333333,0.114590666666667,0.012028000000000
383(mW/m2/nm),0.343022000000000,0.333875000000000,0.324728000000000,0.315581000000000,0.363582250000000,0.411583500000000,0.459584750000000,0.507586000000000,0.462942500000000,0.418299000000000,0.373655500000000,0.329012000000000,0.223553666666667,0.118095333333333,0.012637000000000
384(mW/m2/nm),0.350499000000000,0.341187333333333,0.331875666666667,0.322564000000000,0.371661000000000,0.420758000000000,0.469855000000000,0.518952000000000,0.473544750000000,0.428137500000000,0.382730250000000,0.337323000000000,0.229181666666667,0.121040333333333,0.012899000000000
385(mW/m2/nm),0.357975000000000,0.348499333333333,0.339023666666667,0.329548000000000,0.379740500000000,0.429933000000000,0.480125500000000,0.530318000000000,0.484147000000000,0.437976000000000,0.391805000000000,0.345634000000000,0.234809666666667,0.123985333333333,0.013161000000000
386(mW/m2/nm),0.369727000000000,0.359916000000000,0.350105000000000,0.340294000000000,0.391885500000000,0.443477000000000,0.495068500000000,0.546660000000000,0.499250000000000,0.451840000000000,0.404430000000000,0.357020000000000,0.242549000000000,0.128078000000000,0.013607000000000
387(mW/m2/nm),0.388799000000000,0.378361333333333,0.367923666666667,0.357486000000000,0.410995500000000,0.464505000000000,0.518014500000000,0.571524000000000,0.522061000000000,0.472598000000000,0.423135000000000,0.373672000000000,0.253903666666667,0.134135333333333,0.014367000000000
388(mW/m2/nm),0.407871000000000,0.396806333333333,0.385741666666667,0.374677000000000,0.430105000000000,0.485533000000000,0.540961000000000,0.596389000000000,0.544872750000000,0.493356500000000,0.441840250000000,0.390324000000000,0.265258333333333,0.140192666666667,0.015127000000000
389(mW/m2/nm),0.421812000000000,0.410445000000000,0.399078000000000,0.387711000000000,0.444548500000000,0.501386000000000,0.558223500000000,0.615061000000000,0.561970500000000,0.508880000000000,0.455789500000000,0.402699000000000,0.273767666666667,0.144836333333333,0.015905000000000
